,zip,population,housing_units,occu_pct,ownr_occu_pct,white_pct,black_pct,asian_pct,hisp_pct
0,10001,21102,12476,88.4,25.7,65.0,9.0,16.8,17.3
1,10002,81410,34541,95.3,15.4,31.3,8.4,46.6,25.3
2,10003,56024,31078,91.9,29.4,76.4,3.5,14.4,8.0
3,10004,3089,2197,77.0,26.4,70.2,3.1,21.2,6.1
4,10005,7135,5317,80.0,15.5,70.1,3.4,20.7,7.4
5,10006,3011,1991,90.0,16.4,69.3,4.5,19.6,8.2
6,10007,6988,3143,90.4,29.1,75.6,6.7,12.6,10.2
7,10009,61347,31709,95.2,8.5,62.1,9.8,13.7,26.0
8,10010,31834,18030,91.8,25.6,73.8,5.9,14.4,9.5
9,10011,50984,33252,91.1,34.4,80.3,4.6,8.9,11.5
10,10012,24090,14633,91.2,19.6,75.6,2.5,16.5,8.0
11,10013,27700,13460,89.9,26.6,55.6,3.8,36.1,5.4
12,10014,31959,21689,91.2,26.9,87.9,2.1,5.9,6.4
13,10016,54183,35617,90.3,24.7,74.8,4.0,16.6,8.1
14,10017,16575,12875,83.6,36.3,75.4,3.3,17.7,6.5
15,10018,5229,4425,69.3,14.2,57.0,7.6,25.7,18.1
16,10019,42870,31404,82.5,17.8,69.3,5.5,16.7,15.7
17,10020,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,10021,43631,28628,86.4,40.4,88.0,1.8,7.3,5.4
19,10022,31924,23485,82.0,47.4,86.4,1.9,9.0,5.4
20,10023,60998,39402,87.3,37.3,81.5,4.7,9.0,8.4
21,10024,59283,33952,90.8,33.3,83.0,5.7,5.5,10.7
22,10025,94600,47617,93.3,24.6,64.9,14.3,8.2,22.2
23,10026,34003,15823,89.7,19.3,22.0,58.7,4.3,22.5
24,10027,59707,25071,91.1,13.0,31.1,44.2,7.6,26.1
25,10028,45141,28139,89.4,33.1,87.7,1.7,7.4,5.4
26,10029,76003,31121,94.4,6.9,32.6,31.5,6.9,52.4
27,10030,26999,12976,87.8,10.0,11.0,71.9,1.6,22.5
28,10031,56438,22604,91.3,10.3,24.8,33.5,2.5,58.4
29,10032,57331,21417,94.4,7.5,28.3,22.1,3.5,69.6
30,10033,53926,20116,94.3,10.4,42.5,9.7,2.3,70.0
31,10034,38908,15671,95.8,9.1,37.4,12.9,2.3,72.2
32,10035,33969,13935,91.7,9.3,25.1,43.6,3.1,50.0
33,10036,24711,17958,84.5,11.0,63.7,9.3,17.1,17.0
34,10037,17416,9451,94.0,7.4,8.4,77.2,1.7,18.2
35,10038,20300,10211,92.2,25.2,53.3,8.0,29.9,15.4
36,10039,24527,10868,92.7,11.1,10.7,69.8,1.8,28.2
37,10040,41905,16506,95.2,10.4,38.7,11.0,2.7,72.0
38,10044,11661,4913,91.6,11.0,51.0,21.3,18.2,14.9
39,10065,32270,22754,81.5,31.2,86.1,1.8,8.9,5.9
40,10069,5199,3146,85.7,29.8,72.1,3.6,20.2,6.7
41,10075,26121,16493,88.7,41.4,87.9,2.0,7.1,5.6
42,10103,3,0,0.0,0.0,33.3,66.7,0.0,0.0
43,10110,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,10111,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,10112,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,10115,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,10119,92,0,0.0,0.0,25.0,63.0,3.3,10.9
48,10128,60453,35240,91.7,30.0,80.4,4.7,9.6,9.6
49,10152,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,10153,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,10154,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,10162,1685,824,97.2,0.5,90.1,1.0,5.8,5.4
53,10165,2,2,100.0,0.0,0.0,0.0,100.0,0.0
54,10167,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,10168,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,10169,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,10170,2,0,0.0,0.0,0.0,50.0,50.0,0.0
58,10171,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,10172,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,10173,2,0,0.0,0.0,50.0,50.0,0.0,0.0
61,10174,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,10177,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,10199,9,1,100.0,0.0,100.0,0.0,0.0,0.0
64,10271,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,10278,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,10279,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,10280,7853,4962,81.7,26.4,69.6,3.0,22.3,7.9
68,10282,4783,2484,89.2,5.6,78.5,2.4,13.5,8.1
69,10301,39706,16261,90.5,41.1,54.4,24.6,6.7,24.9
70,10302,19088,6427,93.4,50.6,49.1,21.0,4.3,41.3
71,10303,26337,8811,93.5,54.5,33.9,37.5,7.9,37.1
72,10304,42193,15467,93.3,51.0,47.8,28.8,9.5,24.2
73,10305,41749,16187,93.6,59.5,76.2,4.4,10.9,17.2
74,10306,55909,22017,94.7,67.4,87.9,2.1,4.5,12.2
75,10307,14096,5354,92.0,70.9,93.4,0.6,2.5,8.0
76,10308,27357,10715,94.7,77.8,93.6,0.5,2.9,8.1
77,10309,32519,11686,93.8,74.5,91.1,2.4,3.8,7.9
78,10310,24962,9043,92.5,56.4,54.1,23.3,5.6,29.9
79,10311,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,10312,59304,22155,94.9,79.6,90.8,1.0,5.4,8.1
81,10314,85510,32533,94.4,68.8,75.9,4.3,13.4,13.0
82,10451,45713,17779,96.2,14.0,19.0,43.4,1.6,59.4
83,10452,75371,25866,95.9,3.2,19.2,36.1,1.5,68.1
84,10453,78309,27018,93.7,4.5,17.4,38.3,1.4,65.9
85,10454,37337,12772,93.8,5.5,24.0,31.6,0.6,73.5
86,10455,39665,13851,93.0,7.4,24.9,30.6,0.6,74.8
87,10456,86547,29651,94.8,6.0,15.4,48.4,1.0,56.2
88,10457,70496,24364,93.9,7.0,20.3,38.3,1.7,65.2
89,10458,79492,27806,94.2,4.6,29.7,26.0,4.0,63.8
90,10459,47308,16496,93.3,10.8,23.3,35.4,0.8,69.9
91,10460,57311,20706,94.2,10.1,24.7,36.4,1.5,67.2
92,10461,50502,21127,93.6,30.6,59.2,8.6,10.5,38.4
93,10462,75784,31331,95.3,21.9,32.3,29.6,10.9,46.7
94,10463,67970,30368,93.5,30.3,51.3,16.5,4.4,46.4
95,10464,4534,2272,91.9,54.8,85.0,3.9,3.1,17.1
96,10465,42230,16889,93.4,52.2,69.2,10.7,3.1,37.0
97,10466,67813,24854,93.8,33.1,10.0,72.7,2.3,22.9
98,10467,97060,37432,94.9,12.4,26.6,38.9,6.4,48.1
99,10468,76103,26178,95.2,9.2,24.8,25.9,4.7,70.0
100,10469,66631,24078,93.7,44.3,22.6,59.0,4.1,25.3
101,10470,15293,6882,92.9,32.1,48.5,35.8,3.6,16.7
102,10471,22922,10054,92.6,49.0,72.9,10.6,5.9,20.1
103,10472,66358,23386,94.1,14.7,24.9,30.8,6.1,64.6
104,10473,58519,21323,96.5,25.5,23.4,44.1,1.7,58.2
105,10474,12281,3985,91.2,8.0,23.1,34.5,1.0,70.7
106,10475,40931,18911,98.0,47.7,21.6,63.6,1.3,28.5
107,11001,26883,9598,95.8,79.8,72.6,6.1,14.6,11.3
108,11003,41356,12850,95.7,73.5,29.7,45.3,10.8,20.7
109,11004,14016,5152,96.6,73.2,50.0,6.3,36.5,10.4
110,11005,1806,1852,73.5,85.4,96.6,1.7,1.2,1.3
111,11040,40782,13900,97.1,88.3,61.0,1.5,32.1,8.9
112,11101,25484,12317,84.7,15.2,42.5,20.8,16.0,34.5
113,11102,34133,15499,90.9,14.6,55.7,9.8,15.3,30.3
114,11103,38780,18518,91.2,15.0,67.9,1.9,14.2,24.7
115,11104,27232,12532,94.4,16.9,54.2,2.2,26.0,29.4
116,11105,36688,17416,92.6,25.8,75.5,2.2,11.2,19.7
117,11106,38875,18296,93.5,16.9,54.5,8.9,19.2,28.8
118,11109,3523,2127,92.9,20.2,66.7,4.4,21.8,9.1
119,11201,51128,26390,88.4,40.2,67.1,15.1,9.8,12.4
120,11203,76174,28087,94.1,37.4,3.5,91.2,1.3,5.6
121,11204,78134,28196,90.3,32.8,66.4,0.8,26.4,10.2
122,11205,40366,16409,89.5,20.3,45.7,34.4,5.1,21.2
123,11206,81677,29941,93.6,9.1,42.3,28.3,5.5,43.0
124,11207,93386,34202,91.0,24.2,11.4,66.8,1.1,34.6
125,11208,94469,32069,91.1,25.6,15.7,47.8,8.3,43.0
126,11209,68853,34679,89.6,32.5,77.1,2.2,11.6,15.0
127,11210,62008,22476,91.9,40.8,33.3,57.8,3.5,7.9
128,11211,90117,37180,90.1,15.3,76.1,5.0,3.8,26.1
129,11212,84500,31847,94.8,14.1,4.5,85.2,0.7,16.5
130,11213,63767,24974,92.7,15.7,19.6,72.8,0.9,10.2
131,11214,88630,35261,91.4,30.7,57.6,1.1,32.3,13.3
132,11215,63488,30073,93.4,35.1,76.4,6.1,6.4,17.9
133,11216,54316,25964,89.3,16.6,12.7,76.5,3.0,10.9
134,11217,35881,17581,92.5,28.5,59.4,22.9,6.1,20.0
135,11218,75220,26598,94.9,30.5,57.4,9.9,18.7,20.1
136,11219,92221,28693,91.2,23.9,68.2,1.2,22.7,11.8
137,11220,99598,31045,93.5,24.0,30.6,3.0,41.6,40.8
138,11221,78895,31784,89.3,19.1,17.5,56.8,2.1,39.5
139,11222,36934,18756,90.8,17.3,83.5,2.2,4.9,15.4
140,11223,78731,32407,87.7,33.4,66.1,4.2,21.1,13.1
141,11224,47621,20768,95.2,28.3,59.3,24.8,6.0,18.2
142,11225,56829,23588,95.4,14.6,16.5,75.3,1.5,10.3
143,11226,101572,37745,95.6,11.4,9.9,75.7,3.0,17.1
144,11228,41788,18234,85.4,50.7,68.1,0.7,24.4,10.7
145,11229,80018,34885,87.7,43.3,71.3,5.5,18.2,8.1
146,11230,86408,34028,90.7,28.3,71.4,8.4,13.0,9.9
147,11231,33336,16149,94.2,24.2,68.9,15.0,4.2,21.3
148,11232,28265,8980,93.6,22.3,42.8,7.3,16.2,57.8
149,11233,67053,29074,88.4,19.6,5.4,84.8,0.9,14.5
150,11234,87757,33714,92.6,63.3,47.8,42.2,4.7,8.6
151,11235,79132,37619,90.1,36.7,78.1,2.2,12.8,10.0
152,11236,93877,33313,95.4,45.2,7.5,85.0,2.5,7.8
153,11237,49896,16724,92.8,9.4,36.2,10.9,6.9,72.7
154,11238,49262,24525,92.3,25.7,37.9,47.9,5.5,11.5
155,11239,13393,6335,99.1,2.6,31.3,57.1,2.9,17.8
156,11351,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,11354,54878,22201,90.6,40.6,28.0,3.8,58.7,16.2
158,11355,85871,30681,94.0,32.2,16.5,3.3,70.9,15.1
159,11356,23438,8303,93.4,47.6,50.9,2.6,27.3,36.0
160,11357,39150,15924,95.1,74.8,76.2,1.0,18.3,11.1
161,11358,37546,14068,95.1,56.2,50.2,1.1,40.1,16.1
162,11359,0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,11360,18884,9308,94.1,71.0,71.0,1.5,23.6,8.0
164,11361,28606,11195,95.1,55.7,54.4,3.9,35.4,12.8
165,11362,17823,7347,95.5,81.0,56.9,1.6,37.4,8.0
166,11363,6988,2797,95.4,71.3,63.2,1.1,31.3,8.6
167,11364,34555,13835,96.0,73.1,46.2,2.3,47.0,8.4
168,11365,42252,16098,96.1,43.4,40.7,8.8,41.7,14.4
169,11366,13532,4723,95.7,70.4,46.0,6.3,40.4,11.4
170,11367,41047,15588,96.0,49.0,59.4,10.0,20.9,15.8
171,11368,109931,30978,93.2,20.2,32.0,11.6,10.0,73.8
172,11369,38615,12184,91.9,46.8,34.4,19.8,8.8,64.7
173,11370,39688,10244,91.9,45.4,41.7,17.7,16.9,41.5
174,11371,0,0,0.0,0.0,0.0,0.0,0.0,0.0
175,11372,66636,25100,95.2,34.1,45.8,3.1,20.5,57.2
176,11373,100820,33227,94.3,26.7,26.7,2.1,47.1,42.4
177,11374,43600,20225,95.5,40.7,61.6,3.0,26.7,16.1
178,11375,68733,34631,94.0,49.7,65.4,2.9,25.3,12.1
179,11377,89830,33545,93.6,29.5,37.9,3.4,36.6,37.6
180,11378,34981,13668,93.4,49.3,73.5,1.6,10.4,27.5
181,11379,34821,14649,94.8,55.8,83.1,1.0,8.2,16.4
182,11385,98592,37251,93.5,29.3,65.5,3.4,6.5,43.8
183,11411,18556,6164,95.6,81.9,2.1,93.3,0.7,5.3
184,11412,34882,11526,92.8,68.6,1.4,92.0,1.0,5.9
185,11413,38912,12975,94.2,68.7,2.3,91.8,0.9,6.3
186,11414,26148,11330,94.4,71.9,87.0,2.0,3.6,16.8
187,11415,19341,9206,93.6,33.2,62.3,7.3,16.8,23.2
188,11416,24861,7806,92.6,39.4,31.8,11.3,23.0,44.0
189,11417,28967,9714,95.0,52.4,41.0,8.9,20.3,35.5
190,11418,36256,11854,93.1,41.0,37.0,10.9,20.8,42.7
191,11419,47211,13454,94.3,49.3,12.3,18.2,33.2,20.3
192,11420,44354,13743,94.0,61.5,15.6,32.6,20.1,22.2
193,11421,39127,12695,93.3,49.8,43.2,7.8,15.7,56.1
194,11422,30425,9900,95.0,65.0,7.3,83.7,2.1,8.7
195,11423,29987,10165,94.0,56.1,15.3,42.4,19.7,16.7
196,11424,0,0,0.0,0.0,0.0,0.0,0.0,0.0
197,11425,0,0,0.0,0.0,0.0,0.0,0.0,0.0
198,11426,17590,6389,94.8,74.8,46.3,5.6,35.8,16.2
199,11427,23593,7958,96.5,59.5,28.1,24.0,32.2,16.9
200,11428,19168,5780,95.8,67.3,22.8,24.4,26.7,25.2
201,11429,25105,7791,93.6,67.3,6.1,80.8,3.3,12.6
202,11430,184,0,0.0,0.0,10.9,68.5,4.3,28.3
203,11432,60809,19518,94.5,36.7,23.8,19.8,35.5,24.9
204,11433,32687,11483,89.1,41.6,5.3,75.3,5.0,16.2
205,11434,59129,21681,93.4,46.9,2.9,88.4,1.5,8.2
206,11435,53687,18963,93.5,35.9,26.4,27.7,19.7,32.6
207,11436,17949,5924,90.4,65.2,3.9,75.7,6.5,12.0
208,11451,0,0,0.0,0.0,0.0,0.0,0.0,0.0
209,11691,60035,21160,92.2,23.5,31.0,50.1,2.0,25.2
210,11692,18540,6881,90.0,28.6,16.4,66.4,2.8,22.0
211,11693,11916,5170,91.0,45.1,55.4,30.8,3.1,19.1
212,11694,20408,9341,88.6,48.6,82.5,9.2,2.5,12.3
213,11697,4079,2698,64.3,98.0,98.2,0.1,0.6,2.2
